loan_id,pool_id,protocol_id,protocol_name,network_id,network_name,base_asset_id,base_asset_ticker,loan_type,amortization_type,asset_status,investment_status,term_days,payment_interval_days,written_off_principal_token,principal_paid_token,interest_paid_dollar,outstanding_principal_dollar,defaulted_loans_amount_dollar,interest_paid_token,written_off_principal_dollar,outstanding_principal_token,principal_paid_dollar,funded_assets_token,funded_assets_dollar,base_interest_rate,management_fee_rate,late_fee_interest_rate,funding_open_timestamp,term_start_timestamp,term_end_timestamp
0x726893373de92b8272298d76a7d60a5f51b90da9,0x6f6c8013f639979c84b756c7fc1500eb5af18dc4,3,Maple,1,Ethereum,4,USDC,fixed_term,bullet,liquidated,full,180,30.00,0.00,0.00,467343.33,9999380.11,9999380.11,467372.30,0.00,10000000.00,0.00,9951178.08,9950561.22,9.75,,0,2022-10-05T14:59:47,2022-04-08T08:31:52,null
0x759f097f3153f5d62ff1c2d82ba78b6350f223e3,0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,1,Goldfinch,1,Ethereum,4,USDC,term_loan_fixed,bullet,active,full,1095,30.00,0.00,0.10,2301227.18,9999380.01,0.00,2301369.84,0.00,9999999.90,0.10,9999999.99,9999380.11,10,0,0,2022-04-07T15:00:00,2022-04-12T18:42:27,2025-04-11T18:42:27
0x89d7c618a4eef3065da8ad684859a547548e6169,0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,1,Goldfinch,1,Ethereum,4,USDC,term_loan_fixed,bullet,active,full,1095,30.00,0.00,0.11,2301227.18,9999380.01,0.00,2301369.84,0.00,9999999.89,0.11,10000000.00,9999380.11,10,0,18,2022-04-20T15:00:00,2022-04-26T17:55:56,2025-04-25T17:55:56
0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,1,Goldfinch,1,Ethereum,4,USDC,term_loan_fixed,bullet,active,full,1095,30.00,0.00,0.04,3390195.24,9999367.72,0.00,3390405.41,0.00,9999987.61,0.04,9999987.65,9999367.76,12.5,0,0,2021-11-28T22:06:42,2021-11-30T22:21:06,2024-11-29T22:21:06
0xd09a57127bc40d680be7cb061c2a6629fe71abef,0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,1,Goldfinch,1,Ethereum,4,USDC,term_loan_fixed,bullet,active,full,1096,30.00,0.00,76.21,2465598.41,9999303.91,0.00,2465751.26,0.00,9999923.79,76.20,10000000.00,9999380.11,10,0,0,2022-02-16T16:00:00,2022-02-25T02:18:16,2025-02-25T02:18:16
0x7ac46e8daa723d8b6ae1314b56d3b9149fc6cbc5,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,45.00,0.00,0.00,175744.23,8824452.95,0.00,175755.13,0.00,8825000.00,0.00,8825000.00,8824452.95,10.5,,0,2024-06-05T02:36:59,2024-06-05T02:36:59,null
0x86e2adbf90547da902f273060c8b84c578719c24,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,30.00,0.00,0.00,256662.58,8044501.30,0.00,256678.49,0.00,8045000.00,0.00,8045000.00,8044501.30,9.5,,0,2024-04-11T19:24:23,2024-04-11T19:24:23,null
0x500055809685eceba5ec55786f65440583954501,0xcc8058526de295c6ad917cb41416366d69a24cde,3,Maple,1,Ethereum,4,USDC,fixed_term,bullet,liquidated,full,90,30.00,0.00,0.00,144237.63,7499535.08,7499535.08,144246.58,0.00,7500000.00,0.00,7500000.00,7499535.08,13,,0,2022-11-27T14:37:11,2022-08-15T14:44:08,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0xe,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,8749352.02,-5249740.77,6701405.41,0.00,-5249050.58,0.00,6700524.38,8750502.45,13998402.60,14000243.22,7.7,0,0,2023-01-31T22:21:23,2023-02-06T17:29:35,null
0xba782a156129e2d115fb0076eb0f77e45ace654b,0xc1dd3f011290f212227170f0d02f511ebf57e433,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,14.00,0.00,0.00,139257.27,6599590.87,0.00,139265.90,0.00,6600000.00,0.00,6600000.00,6599590.87,10,,0,2024-05-23T23:31:23,2024-05-23T23:31:23,null
0x9a5c6d1e15ba25bae2c43177e0b4e851b9f6c4e6,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,30.00,0.00,0.00,199482.85,6349606.37,0.00,199495.22,0.00,6350000.00,0.00,6350000.00,6349606.37,11,,0,2024-05-03T20:42:47,2024-05-03T20:42:47,null
0xfcf8725d0d9a786448c5b9b9cc67226d7e4d5c3d,0x1a066b0109545455bc771e49e6edef6303cb0a93,3,Maple,1,Ethereum,786,wETH,fixed_term,bullet,liquidated,full,90,30.00,0.00,0.00,103223.87,6314343.75,6314343.75,39.23,0.00,2400.00,0.00,2394.14,6298929.83,4,,0,2022-09-01T15:28:28,2022-06-07T01:28:42,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x23,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-5997251.23,6262390.30,0.00,-5996462.77,0.00,6261566.98,0.00,5996462.77,5997251.23,7.93,0,0,2024-02-05T18:13:11,2024-02-05T21:14:11,null
0x732cd4b6a5b77644d82c686addab03318eb57390,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,45.00,0.00,0.00,59200.70,5849637.37,0.00,59204.37,0.00,5850000.00,0.00,5850000.00,5849637.37,10.5,,0,2024-07-12T19:47:23,2024-07-12T19:47:23,null
0x4dbe67c683a731807eaaa99a1df2d3e79ebeca00,0x1a066b0109545455bc771e49e6edef6303cb0a93,3,Maple,1,Ethereum,786,wETH,fixed_term,bullet,liquidated,full,90,30.00,0.00,0.00,58126.56,5525050.78,5525050.78,22.09,0.00,2100.00,0.00,2100.00,5525050.78,8,,0,2022-10-07T07:44:23,2022-10-07T23:06:59,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x4,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,419366.75,-4690274.88,5387212.10,0.00,-4689658.25,0.00,5386503.84,419421.89,5109025.00,5109696.77,8.39,0,0,2023-01-03T22:37:23,2023-01-05T18:28:59,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x1f,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-5000657.44,5345749.89,0.00,-5000000.00,0.00,5345047.08,0.00,5000000.00,5000657.44,8.39,0,0,2023-11-06T15:19:47,2023-11-06T16:38:35,null
0x64982f1aa56340c0051bdcefb7a69911fd9d141d,0x1a066b0109545455bc771e49e6edef6303cb0a93,3,Maple,1,Ethereum,786,wETH,fixed_term,bullet,liquidated,full,90,30.00,0.00,0.00,34599.14,5261953.13,5261953.13,13.15,0.00,2000.00,0.00,2000.00,5261953.13,5,,0,2022-11-27T14:37:35,2022-08-15T16:12:10,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x27,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-5130133.02,5207265.85,0.00,-5129458.56,0.00,5206581.25,0.00,5129458.56,5130133.02,6.77,0,0,2024-05-30T22:00:23,2024-06-03T13:32:23,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x25,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-5000657.44,5191798.10,0.00,-5000000.00,0.00,5191115.53,0.00,5000000.00,5000657.44,7.23,0,0,2024-02-15T15:11:11,2024-02-15T18:08:59,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x27,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-5000657.44,5160761.79,0.00,-5000000.00,0.00,5160083.30,0.00,5000000.00,5000657.44,7,0,0,2024-03-11T14:57:59,2024-03-11T17:25:59,null
0x02a8ecbccc5bf0e6ed2fcd9546248d18061811e2,0x6174a27160f4d7885db4ffed1c0b5fbd66c87f3a,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,30.00,0.00,0.00,326546.99,5159680.14,0.00,326567.23,0.00,5160000.00,0.00,5160000.00,5159680.14,12.5,,0,2024-05-17T13:36:11,2024-05-17T13:36:11,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x28,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-4999747.82,5155871.44,0.00,-4999090.50,0.00,5155193.60,0.00,4999090.50,4999747.82,7,0,0,2024-03-13T16:25:47,2024-03-15T17:19:11,null
0xc9bdd0d3b80cc6efe79a82d850f44ec9b55387ae,0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,1,Goldfinch,1,Ethereum,4,USDC,term_loan_fixed,bullet,active,full,1095,30.00,0.00,30.36,1743465.25,5142324.85,0.00,1743573.33,0.00,5142643.64,30.36,5142674.00,5142355.21,12.5,0,0,2021-11-11T00:28:26,2021-11-11T21:37:47,2024-11-10T21:37:47
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x25,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-5000657.44,5130247.48,0.00,-5000000.00,0.00,5129573.01,0.00,5000000.00,5000657.44,7.7,0,0,2024-04-19T13:32:47,2024-04-23T17:35:23,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x23,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-5000619.93,5121250.14,0.00,-4999962.50,0.00,5120576.84,0.00,4999962.50,5000619.93,5.83,0,0,2024-03-26T13:25:47,2024-03-26T18:10:11,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x29,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-5000161.87,5063354.61,0.00,-4999504.50,0.00,5062688.93,0.00,4999504.50,5000161.87,7,0,0,2024-06-17T17:58:47,2024-06-18T13:52:59,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x2f,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-5000657.44,5015538.68,0.00,-5000000.00,0.00,5014879.28,0.00,5000000.00,5000657.44,6.3,0,0,2024-08-05T15:42:23,2024-08-05T20:22:47,null
0x3b0019e53d56af90b4130a821f0159f5d1ac54b8,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,15.00,0.00,0.00,0.00,4999690.06,0.00,0.00,0.00,5000000.00,0.00,5000000.00,4999690.06,9.75,,0,2024-08-05T22:03:47,2024-08-05T22:03:47,null
0x1d596d28a7923a22aa013b0e7082bba23daa656b,0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,1,Goldfinch,1,Ethereum,4,USDC,term_loan_fixed,bullet,active,full,1095,30.00,0.00,0.25,1643727.46,4999689.81,0.00,1643829.36,0.00,4999999.75,0.25,5000000.00,4999690.06,12.5,0,0,2021-12-17T01:03:12,2021-12-20T23:18:42,2024-12-19T23:18:42
0x90040f96ab8f291b6d43a8972806e977631affde-0x30,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-4966208.47,4979559.90,0.00,-4965555.56,0.00,4978905.24,0.00,4965555.56,4966208.47,6.77,0,0,2024-08-08T12:24:59,2024-08-08T14:05:59,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x11,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,787121.41,-4213432.53,4917235.20,0.00,-4212878.59,0.00,4916588.73,787224.91,5000000.00,5000657.44,9.08,0,0,2023-02-13T22:18:23,2023-02-15T15:40:35,null
0x40bc21ca13d732045a475ed70f620571100b85af,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,30.00,0.00,0.00,61317.78,4594715.16,0.00,61321.58,0.00,4595000.00,0.00,4595000.00,4594715.16,8.75,,0,2024-06-24T16:08:59,2024-06-24T16:08:59,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x15,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-4000525.95,4409109.23,0.00,-4000000.00,0.00,4408529.56,0.00,4000000.00,4000525.95,8.85,0,0,2023-07-18T18:12:35,2023-07-18T20:30:59,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x1e,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-4000389.93,4287184.50,0.00,-3999864.00,0.00,4286620.86,0.00,3999864.00,4000389.93,8.39,0,0,2023-10-24T14:11:47,2023-10-26T18:56:23,null
0xaa2ccc5547f64c5dffd0a624eb4af2543a67ba65,0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,1,Goldfinch,1,Ethereum,4,USDC,term_loan_fixed,bullet,defaulted,full,730,30.00,0.00,726139.24,1290859.96,4273595.83,4273595.83,1290939.99,0.00,4273860.76,726094.23,5000000.00,4999690.06,13,0,0,2021-10-21T00:36:20,2021-10-22T17:19:08,2023-10-22T17:19:08
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x21,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-3999347.80,4164729.77,0.00,-3998822.00,0.00,4164182.23,0.00,3998822.00,3999347.80,7,0,0,2024-01-23T22:42:11,2024-01-24T18:21:47,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x2a,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-4077698.65,4143218.70,0.00,-4077162.55,0.00,4142673.99,0.00,4077162.55,4077698.65,6.77,0,0,2024-05-28T19:04:23,2024-05-29T01:53:11,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x28,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-4059130.42,4122540.96,0.00,-4058596.76,0.00,4121998.97,0.00,4058596.76,4059130.42,7.7,0,0,2024-06-07T19:43:47,2024-06-10T13:20:23,null
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7-0x1d,0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,1271747.68,-3677080.13,4110916.60,0.00,-3676596.70,0.00,4110376.13,1271914.90,4948344.38,4948995.03,8.16,0,0,2023-08-03T19:20:11,2023-08-07T14:35:23,null
0xd81f3ae8bb4f3761dbfd46dd0c1f14149d0320cc,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,14.00,0.00,0.00,0.00,3999752.04,0.00,0.00,0.00,4000000.00,0.00,4000000.00,3999752.04,9.25,,0,2024-08-14T19:55:35,2024-08-14T19:55:35,null
0x00c27fc71b159a346e179b4a1608a0865e8a7470,0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,1,Goldfinch,1,Ethereum,4,USDC,term_loan_fixed,bullet,active,full,1461,30.00,0.00,16009652.40,3968630.24,3990100.24,0.00,3968876.26,0.00,3990347.60,16008659.98,20000000.00,19998760.22,11,0,0,2022-02-11T16:00:00,2022-02-21T21:37:32,2026-02-21T21:37:32
0x90040f96ab8f291b6d43a8972806e977631affde-0x22,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-3750493.08,3931656.84,0.00,-3750000.00,0.00,3931139.94,0.00,3750000.00,3750493.08,7.93,0,0,2024-01-17T22:29:23,2024-01-18T20:50:47,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x12,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,1208764.95,-3490534.46,3903752.57,0.00,-3490075.56,0.00,3903239.34,1208923.89,4698840.51,4699458.35,7.7,0,0,2023-06-23T20:25:35,2023-07-05T13:33:23,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x18,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-3556602.34,3877452.92,0.00,-3556134.75,0.00,3876943.15,0.00,3556134.75,3556602.34,8.16,0,0,2023-08-01T17:17:47,2023-08-02T15:04:11,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x26,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-3500006.20,3620565.03,0.00,-3499546.05,0.00,3620089.04,0.00,3499546.05,3500006.20,6.53,0,0,2024-02-15T15:12:47,2024-02-15T20:01:47,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x11,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,408588.38,-3237825.17,3560938.76,0.00,-3237399.49,0.00,3560470.60,408642.11,3645987.87,3646467.27,7.23,0,0,2023-06-08T21:44:11,2023-06-12T19:57:11,null
0xde6ffa7d2cb116a9264f91d8482090efc8a5545a,0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,45.00,0.00,0.00,26398.21,3439786.76,0.00,26399.84,0.00,3440000.00,0.00,3440000.00,3439786.76,10.5,,0,2024-07-09T18:37:35,2024-07-09T18:37:35,null
0x3b03863bd553c4ce07eabf2278016533451c9101-0x4,0x3b03863bd553c4ce07eabf2278016533451c9101,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,late,full,,,0.00,0.00,-2500328.72,3363499.10,0.00,-2500000.00,0.00,3363056.90,0.00,2500000.00,2500328.72,11.33,0,0,2021-12-29T17:08:19,2022-02-24T17:57:13,2024-12-29T00:00:00
0x90040f96ab8f291b6d43a8972806e977631affde-0x10,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,971791.38,-2979955.95,3353827.47,0.00,-2979564.18,0.00,3353386.54,971919.16,3951355.56,3951875.12,7.93,0,0,2023-06-06T20:31:11,2023-06-07T17:47:47,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x29,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-3200248.26,3283257.12,0.00,-3199827.52,0.00,3282825.47,0.00,3199827.52,3200248.26,7.46,0,0,2024-04-17T21:11:59,2024-04-19T20:28:11,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x17,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-2999931.20,3270563.60,0.00,-2999536.80,0.00,3270133.62,0.00,2999536.80,2999931.20,8.16,0,0,2023-07-25T18:55:59,2023-08-02T15:02:59,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x1e,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,2890450.73,-2803460.04,3246811.07,0.00,-2803091.47,0.00,3246384.21,2890830.79,5693542.20,5694290.83,9.53,0,0,2023-11-03T20:15:23,2023-11-05T22:53:11,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x2b,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-3090586.45,3131517.12,0.00,-3090180.13,0.00,3131105.42,0.00,3090180.13,3090586.45,6.53,0,0,2024-06-07T19:48:11,2024-06-10T13:15:59,null
0x90040f96ab8f291b6d43a8972806e977631affde-0x2d,0x90040f96ab8f291b6d43a8972806e977631affde,2,Centrifuge,1,Ethereum,1635,DAI,term_loan,bullet,active,full,,,0.00,0.00,-3023660.62,3040816.49,0.00,-3023263.10,0.00,3040416.72,0.00,3023263.10,3023660.62,6.77,0,0,2024-07-22T20:14:47,2024-07-23T13:10:35,null
0x245de7e3b9b21b68c2c8d2e4759652f0dbce65a6,0x6f6c8013f639979c84b756c7fc1500eb5af18dc4,3,Maple,1,Ethereum,4,USDC,fixed_term,bullet,liquidated,full,60,30.00,0.00,0.00,23669.77,2999814.03,2999814.03,23671.23,0.00,3000000.00,0.00,3000000.00,2999814.03,12,,0,2022-10-27T13:55:59,2022-10-28T02:19:23,null
0x99fb71acb35698102bd2b6b80c35130ea6deabf6,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,7.00,0.00,0.00,0.00,2999814.03,0.00,0.00,0.00,3000000.00,0.00,3000000.00,2999814.03,8.5,,0,2024-08-14T20:56:23,2024-08-14T20:56:23,null
0x502ee6d0b16d834547fc44344d4be3e019fc2573,0x6f6c8013f639979c84b756c7fc1500eb5af18dc4,3,Maple,1,Ethereum,4,USDC,fixed_term,bullet,liquidated,full,90,30.00,0.00,0.00,47339.53,2999814.03,2999814.03,47342.47,0.00,3000000.00,0.00,3000000.00,2999814.03,12,,0,2022-10-06T07:39:47,2022-10-06T08:24:47,null
0x1f2bca37106b30c4d72d8e60ebd2bfeaa10bffe2,0xe9d33286f0e37f517b1204aa6da085564414996d,3,Maple,1,Ethereum,4,USDC,fixed_term,bullet,active,full,30,30.00,0.00,0.00,396884.68,2999814.03,0.00,396909.29,0.00,3000000.00,0.00,3000000.00,2999814.03,11.5,,0,2024-08-20T13:53:47,2023-03-09T14:14:47,null
